iter	Passed	Remaining
435	1205	1559
436	1206	1554
437	1207	1549
438	1208	1544
439	1209	1538
440	1209	1533
441	1210	1528
442	1211	1523
443	1212	1518
444	1213	1513
445	1214	1508
446	1214	1503
447	1215	1497
448	1216	1492
449	1217	1487
450	1218	1482
451	1218	1477
452	1219	1472
453	1220	1467
454	1221	1462
455	1222	1457
456	1222	1452
457	1223	1447
458	1224	1443
459	1225	1438
460	1225	1433
461	1226	1428
462	1227	1423
463	1228	1418
464	1228	1413
465	1229	1409
466	1230	1404
467	1231	1399
468	1232	1394
469	1232	1390
470	1233	1385
471	1234	1380
472	1235	1376
473	1235	1371
474	1236	1366
475	1237	1362
476	1238	1357
477	1238	1352
478	1239	1348
479	1240	1343
480	1241	1339
481	1242	1334
482	1242	1330
483	1243	1325
484	1244	1321
485	1245	1316
486	1246	1312
487	1246	1308
488	1247	1303
489	1248	1299
490	1249	1294
491	1249	1290
492	1250	1286
493	1251	1281
494	1252	1277
495	1253	1273
496	1253	1268
497	1254	1264
498	1255	1260
499	1256	1256
500	1256	1251
501	1257	1247
502	1258	1243
503	1259	1239
504	1259	1234
505	1260	1230
506	1261	1226
507	1262	1222
508	1262	1218
509	1263	1214
510	1264	1209
511	1265	1205
512	1265	1201
513	1266	1197
514	1267	1193
515	1268	1189
516	1269	1185
517	1269	1181
518	1270	1177
519	1271	1173
520	1272	1169
521	1272	1165
522	1273	1161
523	1274	1157
524	1275	1153
525	1275	1149
526	1276	1145
527	1277	1142
528	1278	1138
529	1279	1134
530	1279	1130
531	1280	1126
532	1281	1122
533	1282	1118
534	1283	1115
535	1284	1111
536	1284	1107
537	1285	1104
538	1286	1100
539	1287	1096
540	1288	1092
541	1288	1089
542	1289	1085
543	1290	1081
544	1291	1078
545	1292	1074
546	1292	1070
547	1293	1066
548	1294	1063
549	1295	1059
550	1295	1056
551	1296	1052
552	1297	1048
553	1298	1045
554	1299	1041
555	1300	1038
556	1300	1034
557	1301	1031
558	1302	1027
559	1303	1023
560	1304	1020
561	1304	1016
562	1305	1013
563	1306	1009
564	1307	1006
565	1307	1002
566	1308	999
567	1309	996
568	1310	992
569	1311	989
570	1312	985
571	1312	982
572	1313	978
573	1314	975
574	1315	972
575	1316	968
576	1316	965
577	1317	962
578	1318	958
579	1319	955
580	1320	951
581	1320	948
582	1321	945
583	1322	942
584	1323	938
585	1324	935
586	1324	932
587	1325	928
588	1326	925
589	1327	922
590	1328	919
591	1329	915
592	1329	912
593	1330	909
594	1331	906
595	1332	903
596	1333	899
597	1333	896
598	1334	893
599	1335	890
600	1336	887
601	1337	884
602	1337	880
603	1338	877
604	1339	874
605	1340	871
606	1341	868
607	1342	865
608	1342	862
609	1343	859
610	1344	855
611	1345	852
612	1345	849
613	1346	846
614	1347	843
615	1348	840
616	1349	837
617	1350	834
618	1350	831
619	1351	828
620	1352	825
621	1353	822
622	1354	819
623	1355	816
624	1355	813
625	1356	810
626	1357	807
627	1358	804
628	1358	801
629	1359	798
630	1360	795
631	1361	792
632	1362	789
633	1362	786
634	1363	783
635	1364	780
636	1365	777
637	1366	775
638	1366	772
639	1367	769
640	1368	766
641	1369	763
642	1369	760
643	1370	757
644	1371	754
645	1372	752
646	1373	749
647	1374	746
648	1374	743
649	1375	740
650	1376	737
651	1377	735
652	1377	732
653	1378	729
654	1379	726
655	1380	723
656	1381	721
657	1381	718
658	1382	715
659	1383	712
660	1384	710
661	1385	707
662	1386	704
663	1386	701
664	1387	699
665	1388	696
666	1389	693
667	1390	690
668	1390	688
669	1391	685
670	1392	682
671	1393	680
672	1394	677
673	1395	674
674	1395	672
675	1396	669
676	1397	666
677	1398	664
678	1399	661
679	1399	658
680	1400	656
681	1401	653
682	1402	650
683	1403	648
684	1403	645
685	1404	642
686	1405	640
687	1406	637
688	1407	635
689	1407	632
690	1408	630
691	1409	627
692	1410	624
